"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 18 22:10:36 QYZT 2025","Fri Apr 18 22:10:37 QYZT 2025","1195","tests","test_create_order","TestCreateOrder","","","Невозможность создания заказа без ингредиентов",""
"passed","Fri Apr 18 22:10:55 QYZT 2025","Fri Apr 18 22:10:55 QYZT 2025","754","tests","test_user_login","TestUserLogin","","","Авторизация с неверным паролем",""
"passed","Fri Apr 18 22:10:52 QYZT 2025","Fri Apr 18 22:10:53 QYZT 2025","763","tests","test_user_login","TestUserLogin","","","Успешная авторизация существующего пользователя",""
"passed","Fri Apr 18 22:10:33 QYZT 2025","Fri Apr 18 22:10:34 QYZT 2025","698","tests","test_create_order","TestCreateOrder","","","Создание заказа неавторизованным пользователем с ингредиентами",""
"passed","Fri Apr 18 22:11:00 QYZT 2025","Fri Apr 18 22:11:01 QYZT 2025","1532","tests","test_user_register","TestUserRegister","","","Успешная регистрация нового пользователя",""
"passed","Fri Apr 18 22:10:50 QYZT 2025","Fri Apr 18 22:10:51 QYZT 2025","690","tests","test_get_orders","TestGetOrders","","","Невозможность получения заказов неавторизованного пользователя",""
"passed","Fri Apr 18 22:11:12 QYZT 2025","Fri Apr 18 22:11:12 QYZT 2025","680","tests","test_user_update","TestUserUpdate","","","Попытка обновления email авторизованного пользователя",""
"passed","Fri Apr 18 22:10:57 QYZT 2025","Fri Apr 18 22:10:58 QYZT 2025","686","tests","test_user_login","TestUserLogin","","","Авторизация с неверным email",""
"passed","Fri Apr 18 22:11:15 QYZT 2025","Fri Apr 18 22:11:16 QYZT 2025","1101","tests","test_user_update","TestUserUpdate","","","Обновление пароля авторизованного пользователя",""
"passed","Fri Apr 18 22:10:28 QYZT 2025","Fri Apr 18 22:10:31 QYZT 2025","3365","tests","test_create_order","TestCreateOrder","","","Создание заказа авторизованным пользователем с ингредиентами",""
"passed","Fri Apr 18 22:10:45 QYZT 2025","Fri Apr 18 22:10:49 QYZT 2025","4427","tests","test_get_orders","TestGetOrders","","","Получение заказов авторизованного пользователя",""
"passed","Fri Apr 18 22:11:17 QYZT 2025","Fri Apr 18 22:11:18 QYZT 2025","695","tests","test_user_update","TestUserUpdate","","","Обновление имени неавторизованного пользователя",""
"passed","Fri Apr 18 22:11:18 QYZT 2025","Fri Apr 18 22:11:21 QYZT 2025","3290","tests","test_user_update","TestUserUpdate","","","Обновление email неавторизованного пользователя",""
"passed","Fri Apr 18 22:11:04 QYZT 2025","Fri Apr 18 22:11:04 QYZT 2025","706","tests","test_user_register","TestUserRegister","","","Регистрация существующего пользователя",""
"passed","Fri Apr 18 22:10:40 QYZT 2025","Fri Apr 18 22:10:41 QYZT 2025","717","tests","test_create_order","TestCreateOrder","","","Невозможность создания заказа с неверным ID ингредиента",""
"passed","Fri Apr 18 22:11:08 QYZT 2025","Fri Apr 18 22:11:09 QYZT 2025","673","tests","test_user_update","TestUserUpdate","","","Обновление имени авторизованного пользователя",""
